county_fips,State Name,County Name,2020 Population,Adherents,religious_adherents
53061,Washington,Snohomish County,827957,355139,0.428934111
53063,Washington,Spokane County,539339,228728,0.424089487
53065,Washington,Stevens County,46445,15238,0.328086985
53067,Washington,Thurston County,294793,107741,0.365480184
53069,Washington,Wahkiakum County,4422,1379,0.311849842
53071,Washington,Walla Walla County,62584,25019,0.399766714
53073,Washington,Whatcom County,226847,99143,0.437047878
53075,Washington,Whitman County,47973,14802,0.308548559
53077,Washington,Yakima County,256728,119432,0.465208314
54001,West Virginia,Barbour County,15465,6870,0.444228904
54003,West Virginia,Berkeley County,122076,33725,0.276262328
54005,West Virginia,Boone County,21809,5128,0.235132285
54007,West Virginia,Braxton County,12447,5479,0.44018639
54009,West Virginia,Brooke County,22559,6617,0.293319739
54011,West Virginia,Cabell County,94350,48009,0.508839428
54013,West Virginia,Calhoun County,6229,1687,0.270829989
54015,West Virginia,Clay County,8051,2169,0.269407527
54017,West Virginia,Doddridge County,7808,1880,0.240778689
54019,West Virginia,Fayette County,40488,14440,0.356648884
54021,West Virginia,Gilmer County,7408,1941,0.262014039
54023,West Virginia,Grant County,10976,4023,0.366526968
54025,West Virginia,Greenbrier County,32977,14459,0.438457106
54027,West Virginia,Hampshire County,23093,6661,0.288442385
54029,West Virginia,Hancock County,29095,14125,0.485478605
54031,West Virginia,Hardy County,14299,6291,0.439960836
54033,West Virginia,Harrison County,65921,38191,0.579344974
54035,West Virginia,Jackson County,27791,13287,0.478104422
54037,West Virginia,Jefferson County,57701,19291,0.334326961
54039,West Virginia,Kanawha County,180745,73750,0.408033417
54041,West Virginia,Lewis County,17033,5348,0.313978747
54043,West Virginia,Lincoln County,20463,3572,0.17455896
54045,West Virginia,Logan County,32567,8304,0.254982037
54049,West Virginia,Marion County,56205,26277,0.467520683
54051,West Virginia,Marshall County,30591,11440,0.373966199
54053,West Virginia,Mason County,25453,5936,0.233214159
54047,West Virginia,McDowell County,19111,4197,0.219611742
54055,West Virginia,Mercer County,59664,30861,0.517246581
54057,West Virginia,Mineral County,26938,10101,0.374972158
54059,West Virginia,Mingo County,23568,6958,0.295230821
54061,West Virginia,Monongalia County,105822,27800,0.262705298
54063,West Virginia,Monroe County,12376,3217,0.259938591
54065,West Virginia,Morgan County,17063,4444,0.26044658
54067,West Virginia,Nicholas County,24604,9445,0.38388067
54069,West Virginia,Ohio County,42425,22582,0.532280495
54071,West Virginia,Pendleton County,6143,3899,0.63470617
54073,West Virginia,Pleasants County,7653,2037,0.266170129
54075,West Virginia,Pocahontas County,7869,2749,0.349345533
54077,West Virginia,Preston County,34216,11073,0.323620528
54079,West Virginia,Putnam County,57440,22943,0.399425487
54081,West Virginia,Raleigh County,74591,23861,0.31989114
54083,West Virginia,Randolph County,27932,10269,0.367642847
54085,West Virginia,Ritchie County,8444,2876,0.340596874
54087,West Virginia,Roane County,14028,3092,0.22041631
54089,West Virginia,Summers County,11959,2986,0.249686429
54091,West Virginia,Taylor County,16705,8885,0.531876684
54093,West Virginia,Tucker County,6762,3160,0.467317362
54095,West Virginia,Tyler County,8313,2624,0.315650186
54097,West Virginia,Upshur County,23816,7770,0.32625126
54099,West Virginia,Wayne County,38982,10858,0.278538813
54101,West Virginia,Webster County,8378,1446,0.172594891
54103,West Virginia,Wetzel County,14442,6647,0.460254812
54105,West Virginia,Wirt County,5194,1735,0.334039276
54107,West Virginia,Wood County,84296,41604,0.49354655
54109,West Virginia,Wyoming County,21382,7818,0.365634646
55001,Wisconsin,Adams County,20654,2566,0.124237436
55003,Wisconsin,Ashland County,16027,7609,0.47476134
55005,Wisconsin,Barron County,46711,23679,0.506925564
55007,Wisconsin,Bayfield County,16220,5886,0.362885327
55009,Wisconsin,Brown County,268740,146739,0.546025899
55011,Wisconsin,Buffalo County,13317,6770,0.508372757
55013,Wisconsin,Burnett County,16526,3788,0.229214571
55015,Wisconsin,Calumet County,52442,24516,0.467487891
55017,Wisconsin,Chippewa County,66297,25657,0.38700092
55019,Wisconsin,Clark County,34659,20051,0.578522173
55021,Wisconsin,Columbia County,58490,22890,0.391348949
55023,Wisconsin,Crawford County,16113,8889,0.551666356
55025,Wisconsin,Dane County,561504,205661,0.366268094
55027,Wisconsin,Dodge County,89396,39414,0.44089221
55029,Wisconsin,Door County,30066,16719,0.556076631
55031,Wisconsin,Douglas County,44295,13518,0.305181172
55033,Wisconsin,Dunn County,45440,21694,0.477420775
55035,Wisconsin,Eau Claire County,105710,43555,0.41202346
55037,Wisconsin,Florence County,4558,924,0.202720491
55039,Wisconsin,Fond du Lac County,104154,59281,0.569166811
55041,Wisconsin,Forest County,9179,3754,0.408977013
55043,Wisconsin,Grant County,51938,28334,0.545535061
55045,Wisconsin,Green County,37093,11653,0.31415631
55047,Wisconsin,Green Lake County,19018,10455,0.549742349
55049,Wisconsin,Iowa County,23709,13702,0.577923995
55051,Wisconsin,Iron County,6137,2659,0.433273586
55053,Wisconsin,Jackson County,21145,7295,0.344998818
55055,Wisconsin,Jefferson County,84900,43354,0.510647821
55057,Wisconsin,Juneau County,26718,9854,0.368815031
55059,Wisconsin,Kenosha County,169151,59361,0.350934963
55061,Wisconsin,Kewaunee County,20563,13656,0.664105432
55063,Wisconsin,La Crosse County,120784,51644,0.427573189
55065,Wisconsin,Lafayette County,16611,7646,0.460297393
55067,Wisconsin,Langlade County,19491,11219,0.575598994
55069,Wisconsin,Lincoln County,28415,15554,0.547386944
55071,Wisconsin,Manitowoc County,81359,46805,0.575289765
55073,Wisconsin,Marathon County,138013,70187,0.508553542
55075,Wisconsin,Marinette County,41872,23091,0.551466374
55077,Wisconsin,Marquette County,15592,5301,0.339982042
55078,Wisconsin,Menominee County,4255,1038,0.243948296
55079,Wisconsin,Milwaukee County,939489,493096,0.524855533
55081,Wisconsin,Monroe County,46274,19617,0.423931365
55083,Wisconsin,Oconto County,38965,17383,0.446118311
55085,Wisconsin,Oneida County,37845,14561,0.3847536
55087,Wisconsin,Outagamie County,190705,123463,0.647403057
55089,Wisconsin,Ozaukee County,91503,53060,0.579871698
55091,Wisconsin,Pepin County,7318,3633,0.496447117
55093,Wisconsin,Pierce County,42212,19278,0.456694779
55095,Wisconsin,Polk County,44977,16713,0.371589924
55097,Wisconsin,Portage County,70377,32733,0.46510934
55099,Wisconsin,Price County,14054,7656,0.544755941
55101,Wisconsin,Racine County,197727,82499,0.417236897
55103,Wisconsin,Richland County,17304,5891,0.340441516
55105,Wisconsin,Rock County,163687,62560,0.382192844
55107,Wisconsin,Rusk County,14188,4739,0.33401466
55111,Wisconsin,Sauk County,65763,32247,0.490351718
55113,Wisconsin,Sawyer County,18074,6667,0.368872413
55115,Wisconsin,Shawano County,40881,22507,0.550549155
55117,Wisconsin,Sheboygan County,118034,64857,0.549477269
55109,Wisconsin,St. Croix County,93536,38253,0.408965532
55119,Wisconsin,Taylor County,19913,11597,0.582383368
55121,Wisconsin,Trempealeau County,30760,18190,0.591352406
55123,Wisconsin,Vernon County,30714,17046,0.554991209
55125,Wisconsin,Vilas County,23047,7914,0.343385256
55127,Wisconsin,Walworth County,106478,43965,0.412902196
55129,Wisconsin,Washburn County,16623,4950,0.297780184
55131,Wisconsin,Washington County,136761,76172,0.556971651
55133,Wisconsin,Waukesha County,406978,245298,0.602730369
55135,Wisconsin,Waupaca County,51812,27809,0.536728943
55137,Wisconsin,Waushara County,24520,7406,0.302039152
55139,Wisconsin,Winnebago County,171730,76608,0.446095615
55141,Wisconsin,Wood County,74207,36467,0.491422642
56001,Wyoming,Albany County,37066,11046,0.298008957
56003,Wyoming,Big Horn County,11521,7209,0.625726933
56005,Wyoming,Campbell County,47026,18098,0.384850934
56007,Wyoming,Carbon County,14537,6806,0.468184632
56009,Wyoming,Converse County,13751,3567,0.259399316
56011,Wyoming,Crook County,7181,3024,0.421111266
56013,Wyoming,Fremont County,39234,14669,0.373884896
56015,Wyoming,Goshen County,12498,3191,0.255320851
56017,Wyoming,Hot Springs County,4621,1818,0.393421337
56019,Wyoming,Johnson County,8447,3244,0.384041672
56021,Wyoming,Laramie County,100512,32258,0.320936804
56023,Wyoming,Lincoln County,19581,12775,0.65241816
56025,Wyoming,Natrona County,79955,32557,0.407191545
56027,Wyoming,Niobrara County,2467,793,0.321443048
56029,Wyoming,Park County,29624,13819,0.466479881
56031,Wyoming,Platte County,8605,3442,0.4
56033,Wyoming,Sheridan County,30921,11462,0.370686588
56035,Wyoming,Sublette County,8728,2614,0.299495875
56037,Wyoming,Sweetwater County,42272,19062,0.45093679
56039,Wyoming,Teton County,23331,10488,0.449530667
56041,Wyoming,Uinta County,20450,12710,0.621515892
56043,Wyoming,Washakie County,7685,5098,0.663370202
56045,Wyoming,Weston County,6838,2473,0.361655455
